505,Maurice Evans,206,/players/e/evansma01.html,30,80,25,23.0,2.6,6.0,.432,1.2,3.1,.395,1.4,2.9,.470,.533,0.8,0.9,.822,1.1,1.9,3.0,0.7,0.6,0.1,0.5,2.0,7.2
506,Zaza Pachulia,206,/players/p/pachuza01.html,24,77,26,19.1,2.1,4.2,.497,0.0,0.0,.000,2.1,4.1,.502,.497,2.1,3.0,.709,2.2,3.4,5.7,0.7,0.5,0.3,1.2,2.7,6.2
507,Solomon Jones,206,/players/j/jonesso01.html,24,63,0,10.7,1.1,1.8,.604,0.0,0.0,.500,1.0,1.7,.606,.608,0.8,1.2,.716,0.8,1.4,2.3,0.2,0.1,0.5,0.4,2.0,3.0
508,Acie Law,206,/players/l/lawac01.html,24,55,1,10.2,0.9,2.5,.374,0.2,0.5,.310,0.8,2.0,.391,.406,0.9,1.1,.817,0.1,0.9,1.1,1.6,0.2,0.1,0.5,0.8,2.9
509,Speedy Claxton,206,/players/c/claxtsp01.html,30,2,0,7.5,1.0,3.5,.286,0.0,0.0,,1.0,3.5,.286,.286,0.5,1.0,.500,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,2.5
510,Thomas Gardner,206,/players/g/gardnth01.html,23,16,0,6.1,0.6,2.3,.250,0.3,1.4,.174,0.3,0.8,.385,.306,0.1,0.3,.500,0.0,0.4,0.4,0.1,0.3,0.1,0.2,0.3,1.5
511,Othello Hunter,206,/players/h/hunteot01.html,22,16,0,5.8,0.7,1.3,.550,0.0,0.0,,0.7,1.3,.550,.550,0.0,0.3,.000,0.6,0.9,1.5,0.1,0.1,0.3,0.1,0.7,1.4
512,Mario West,206,/players/w/westma02.html,24,53,3,5.1,0.3,0.6,.412,0.0,0.0,1.000,0.2,0.6,.394,.426,0.3,0.6,.467,0.5,0.6,1.1,0.4,0.3,0.1,0.2,0.7,0.8
513,Randolph Morris,206,/players/m/morrira01.html,23,23,0,3.9,0.3,0.7,.412,0.0,0.0,,0.3,0.7,.412,.412,0.2,0.2,1.000,0.2,0.7,0.9,0.1,0.1,0.0,0.3,1.1,0.8
514,Joe Johnson,207,/players/j/johnsjo02.html,26,82,82,40.8,7.9,18.3,.432,2.1,5.4,.381,5.8,12.8,.454,.489,3.9,4.6,.834,1.0,3.5,4.5,5.8,1.0,0.2,2.7,2.0,21.7
515,Josh Smith,207,/players/s/smithjo03.html,22,81,81,35.5,6.4,14.0,.457,0.3,1.2,.253,6.1,12.8,.477,.468,4.1,5.8,.710,2.0,6.2,8.2,3.4,1.5,2.8,3.0,3.3,17.2
